"Event Year","ID Event Year","Phenotype","ID Phenotype","Nation","Infectious Event Type","ID Infectious Event Type","Percent Resistant","Number Resistant","Number of Isolates Tested","Lower CI","Upper CI"
2014,"129","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","7.9",1420,17975,"7.5","8.3"
2015,"300","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","9.2",1854,20178,"8.8","9.6"
2016,"301","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","9.3",1851,19815,"8.9","9.8"
2017,"302","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","9.3",1772,19001,"8.9","9.7"
2018,"303","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","9.2",1669,18106,"8.8","9.6"
2019,"304","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","9.6",1592,16663,"9.1","10.0"
2020,"305","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","10.3",1541,15000,"9.8","10.8"
2021,"306","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","9.4",1625,17330,"8.9","9.8"
2011,"35","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","6.3",427,6791,"5.7","6.9"
2012,"36","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","6.6",1008,15355,"6.2","7.0"
2013,"37","MDR <em>E.coli</em>","11","United States","All Infectious Event Type Data","120","8.1",1396,17150,"7.7","8.6"
