"Event Year","ID Event Year","Phenotype","ID Phenotype","Nation","Infectious Event Type","ID Infectious Event Type","Percent Resistant","Number Resistant","Number of Isolates Tested","Lower CI","Upper CI"
2014,"129","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.3",14,5215,"0.2","0.4"
2015,"300","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.2",11,5965,"0.1","0.3"
2016,"301","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.2",14,5625,"0.1","0.4"
2017,"302","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.2",8,5237,"0.1","0.3"
2018,"303","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.1",6,4952,"0.0","0.3"
2019,"304","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.1",4,4666,"0.0","0.2"
2020,"305","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.2",8,3731,"0.1","0.4"
2021,"306","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.1",5,3975,"0.0","0.3"
2011,"35","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.4",16,3651,"0.3","0.7"
2012,"36","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.3",16,5215,"0.2","0.5"
2013,"37","Vancomycin-resistant MRSA","22","United States","All Infectious Event Type Data","120","0.4",24,5407,"0.3","0.6"
