"State","SAAR Population","Event Year","ID Event Year","ID SAAR Population","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting"
"Alabama","Adult","2022","307","1","1","23","90","25.6"
"Alaska","Adult","2022","307","1","2","5","16","31.3"
"Arizona","Adult","2022","307","1","4","14","82","17.1"
"Arkansas","Adult","2022","307","1","5","25","70","35.7"
"California","Adult","2022","307","1","6","148","359","41.2"
"Colorado","Adult","2022","307","1","8","56","83","67.5"
"Connecticut","Adult","2022","307","1","9","14","31","45.2"
"Delaware","Adult","2022","307","1","10","5","9","55.6"
"District of Columbia","Adult","2022","307","1","11","4","8","50.0"
"Florida","Adult","2022","307","1","12","107","222","48.2"
"Georgia","Adult","2022","307","1","13","53","135","39.3"
"Hawaii","Adult","2022","307","1","15","4","19","21.1"
"Idaho","Adult","2022","307","1","16","13","38","34.2"
"Illinois","Adult","2022","307","1","17","53","182","29.1"
"Indiana","Adult","2022","307","1","18","86","120","71.7"
"Iowa","Adult","2022","307","1","19","15","104","14.4"
"Kansas","Adult","2022","307","1","20","17","102","16.7"
"Kentucky","Adult","2022","307","1","21","60","95","63.2"
"Louisiana","Adult","2022","307","1","22","55","115","47.8"
"Maine","Adult","2022","307","1","23","19","27","70.4"
"Maryland","Adult","2022","307","1","24","20","44","45.5"
"Massachusetts","Adult","2022","307","1","25","28","66","42.4"
"Michigan","Adult","2022","307","1","26","59","132","44.7"
"Minnesota","Adult","2022","307","1","27","45","103","43.7"
"Mississippi","Adult","2022","307","1","28","21","80","26.3"
"Missouri","Adult","2022","307","1","29","70","101","69.3"
"Montana","Adult","2022","307","1","30","19","34","55.9"
"Nebraska","Adult","2022","307","1","31","14","57","24.6"
"Nevada","Adult","2022","307","1","32","19","35","54.3"
"New Hampshire","Adult","2022","307","1","33","9","25","36.0"
"New Jersey","Adult","2022","307","1","34","37","72","51.4"
"New Mexico","Adult","2022","307","1","35","14","43","32.6"
"New York","Adult","2022","307","1","36","101","190","53.2"
"North Carolina","Adult","2022","307","1","37","70","118","59.3"
"North Dakota","Adult","2022","307","1","38","3","27","11.1"
"Ohio","Adult","2022","307","1","39","91","158","57.6"
"Oklahoma","Adult","2022","307","1","40","32","106","30.2"
"Oregon","Adult","2022","307","1","41","34","59","57.6"
"Pennsylvania","Adult","2022","307","1","42","38","180","21.1"
"Puerto Rico","Adult","2022","307","1","72","6","42","14.3"
"Rhode Island","Adult","2022","307","1","44","5","11","45.5"
"South Carolina","Adult","2022","307","1","45","41","66","62.1"
"South Dakota","Adult","2022","307","1","46","8","59","13.6"
"Tennessee","Adult","2022","307","1","47","64","103","62.1"
"Texas","Adult","2022","307","1","48","152","407","37.3"
"Utah","Adult","2022","307","1","49","18","45","40.0"
"Vermont","Adult","2022","307","1","50","3","15","20.0"
"Virginia","Adult","2022","307","1","51","76","89","85.4"
"Washington","Adult","2022","307","1","53","47","90","52.2"
"West Virginia","Adult","2022","307","1","54","17","52","32.7"
"Wisconsin","Adult","2022","307","1","55","54","140","38.6"
"Wyoming","Adult","2022","307","1","56","3","27","11.1"
