SAAR Population,Agent,Event Year,State,ID State,Observed Antimicrobial Days,Predicted Antimicrobial Days,Days Present
Adult,All,2021,Alabama,1,450718,496764.1,743205
Adult,All,2021,Alaska,2,,,
Adult,All,2021,Arizona,4,,,
Adult,All,2021,Arkansas,5,482607,481097.7,727446
Adult,All,2021,California,6,3390647,3307234.5,5160141
Adult,All,2021,Colorado,8,837102,971642.6,1507039
Adult,All,2021,Connecticut,9,288858,340608.66,539580
Adult,All,2021,Delaware,10,,,
Adult,All,2021,District of Columbia,11,,,
Adult,All,2021,Florida,12,2871072,3024131,4781447
Adult,All,2021,Georgia,13,1529654,1678915.2,2668494
Adult,All,2021,Hawaii,15,,,
Adult,All,2021,Idaho,16,,,
Adult,All,2021,Illinois,17,919832,956318.7,1488885
Adult,All,2021,Indiana,18,1267508,1352632.1,2103382
Adult,All,2021,Iowa,19,280947,317249,491952
Adult,All,2021,Kansas,20,250301,279735.28,431192
Adult,All,2021,Kentucky,21,889091,901910.75,1390710
Adult,All,2021,Louisiana,22,826739,789294.2,1219283
Adult,All,2021,Maine,23,272743,295145.72,474161
Adult,All,2021,Maryland,24,332061,361345,585163
Adult,All,2021,Massachusetts,25,650860,726409.3,1154259
Adult,All,2021,Michigan,26,969539,1137912.8,1795608
Adult,All,2021,Minnesota,27,868308,952384.75,1508069
Adult,All,2021,Mississippi,28,449724,417376.25,648887
Adult,All,2021,Missouri,29,1515384,1530114.9,2383997
Adult,All,2021,Montana,30,193839,247849.31,389393
Adult,All,2021,New Mexico,35,161611,181898.53,274785
Adult,All,2021,North Carolina,37,1618549,1778580.8,2829740
Adult,All,2021,,80,,,
Adult,All,2021,Nebraska,31,213749,251502.58,400007
Adult,All,2021,Nevada,32,521261,501105.7,801398
Adult,All,2021,New Hampshire,33,,,
Adult,All,2021,New Jersey,34,695462,848235.75,1348750
Adult,All,2021,New York,36,2849849,3290158.8,5293130
Adult,All,2021,North Dakota,38,,,
Adult,All,2021,Ohio,39,1759338,1960878.1,3086085
Adult,All,2021,Oklahoma,40,655516,646516.5,1026879
Adult,All,2021,Oregon,41,402669,485941.8,753730
