The SAS System,,,,,,,,,
,,,,,,,,,
Phenotype,state,eventtype,year,agecat,numTested,numNonSuscep,pctNonSuscep,Suppress,displayTested
Ecoli_ESCeph,AK,All,2019,Adult,24,5,20.8,,
Ecoli_ESCeph,AK,All,2019,All,24,5,20.8,,
Ecoli_ESCeph,AK,All,2019,Peds,0,.,.,Zero,
Ecoli_ESCeph,AL,All,2019,Adult,195,33,16.9,,
Ecoli_ESCeph,AL,All,2019,All,205,34,16.6,,
Ecoli_ESCeph,AL,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AR,All,2019,Adult,120,22,18.3,,
Ecoli_ESCeph,AR,All,2019,All,125,23,18.4,,
Ecoli_ESCeph,AR,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AZ,All,2019,Adult,224,52,23.2,,
Ecoli_ESCeph,AZ,All,2019,All,232,53,22.8,,
Ecoli_ESCeph,AZ,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,CA,All,2019,Adult,2036,668,32.8,,
Ecoli_ESCeph,CA,All,2019,All,2161,703,32.5,,
Ecoli_ESCeph,CA,All,2019,Peds,125,35,28,,
Ecoli_ESCeph,CO,All,2019,Adult,200,38,19,,
Ecoli_ESCeph,CO,All,2019,All,204,38,18.6,,
Ecoli_ESCeph,CO,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,CT,All,2019,Adult,111,33,29.7,,
Ecoli_ESCeph,CT,All,2019,All,116,33,28.4,,
Ecoli_ESCeph,CT,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,DC,All,2019,Adult,69,19,27.5,,
Ecoli_ESCeph,DC,All,2019,All,79,27,34.2,,
Ecoli_ESCeph,DC,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,DE,All,2019,Adult,41,10,24.4,,
Ecoli_ESCeph,DE,All,2019,All,44,11,25,,
Ecoli_ESCeph,DE,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,FL,All,2019,Adult,1072,261,24.3,,
Ecoli_ESCeph,FL,All,2019,All,1108,270,24.4,,
Ecoli_ESCeph,FL,All,2019,Peds,36,9,25,,
Ecoli_ESCeph,GA,All,2019,Adult,398,63,15.8,,
Ecoli_ESCeph,GA,All,2019,All,412,66,16,,
Ecoli_ESCeph,GA,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,HI,All,2019,Adult,33,8,24.2,,
Ecoli_ESCeph,HI,All,2019,All,34,8,23.5,,
Ecoli_ESCeph,HI,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,IA,All,2019,Adult,115,11,9.6,,
Ecoli_ESCeph,IA,All,2019,All,119,11,9.2,,
Ecoli_ESCeph,IA,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,ID,All,2019,Adult,63,6,9.5,,
Ecoli_ESCeph,ID,All,2019,All,66,6,9.1,,
Ecoli_ESCeph,ID,All,2019,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,IL,All,2019,Adult,542,104,19.2,,
Ecoli_ESCeph,IL,All,2019,All,567,112,19.8,,
Ecoli_ESCeph,IL,All,2019,Peds,25,8,32,,
Ecoli_ESCeph,IN,All,2019,Adult,304,44,14.5,,
Ecoli_ESCeph,IN,All,2019,All,322,46,14.3,,
