ID State,State,Year,"Prescriptions per 1,000 Enrollees"
1,Alabama,2018,1774
2,Alaska,2018,1184
4,Arizona,2018,1333
5,Arkansas,2018,1652
6,California,2018,1190
8,Colorado,2018,1177
9,Connecticut,2018,1329
10,Delaware,2018,1261
11,District of Columbia,2018,1513
12,Florida,2018,1546
13,Georgia,2018,1552
15,Hawaii,2018,1038
16,Idaho,2018,1237
17,Illinois,2018,1361
18,Indiana,2018,1591
19,Iowa,2018,1474
20,Kansas,2018,1623
21,Kentucky,2018,1814
22,Louisiana,2018,1663
23,Maine,2018,1118
24,Maryland,2018,1368
25,Massachusetts,2018,1339
26,Michigan,2018,1343
27,Minnesota,2018,1232
28,Mississippi,2018,1797
29,Missouri,2018,1539
30,Montana,2018,1127
31,Nebraska,2018,1576
32,Nevada,2018,1219
33,New Hampshire,2018,1233
34,New Jersey,2018,1374
35,New Mexico,2018,1122
36,New York,2018,1388
37,North Carolina,2018,1492
38,North Dakota,2018,1462
39,Ohio,2018,1502
40,Oklahoma,2018,1602
41,Oregon,2018,1049
42,Pennsylvania,2018,1430
44,Rhode Island,2018,1324
45,South Carolina,2018,1457
46,South Dakota,2018,1454
47,Tennessee,2018,1763
48,Texas,2018,1560
49,Utah,2018,1389
50,Vermont,2018,996
51,Virginia,2018,1446
53,Washington,2018,1103
54,West Virginia,2018,1746
55,Wisconsin,2018,1224
56,Wyoming,2018,1235
