"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Neonatal","All","2022","Alabama","1","9","20","45.0%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Alaska","2","3","4","75.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Arizona","4","5","26","19.2%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Arkansas","5","9","17","52.9%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","California","6","86","172","50.0%","126146",131405.36,"497153","86","0.648","0.730","0.879","1.163","1.456","0.811","0.955"
"Neonatal","All","2022","Colorado","8","25","32","78.1%","17047",26523.146,"112896","25","0.323","0.452","0.532","0.771","1.190","0.460","0.747"
"Neonatal","All","2022","Connecticut","9","6","14","42.9%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Delaware","10","3","4","75.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","District of Columbia","11","3","6","50.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Florida","12","35","78","44.9%","63100",58380.023,"250966","34","0.508","0.711","1.015","1.349","1.654","0.741","1.289"
"Neonatal","All","2022","Georgia","13","24","48","50.0%","33183",34218.84,"132285","24","0.448","0.734","0.985","1.208","1.611","0.763","1.198"
"Neonatal","All","2022","Hawaii","15","0","3","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Idaho","16","5","12","41.7%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
