"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Pediatric","All","2022","Alabama","1","4","14","28.6%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Alaska","2","3","4","75.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Arizona","4","1","11","9.1%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Arkansas","5","3","7","42.9%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","California","6","42","93","45.2%","216091",236133.3,"435450","41","0.562","0.781","0.842","1.036","1.180","0.814","0.992"
"Pediatric","All","2022","Colorado","8","5","12","41.7%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Connecticut","9","3","6","50.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Delaware","10","2","4","50.0%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","District of Columbia","11","0","3","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Florida","12","13","50","26.0%","86443",87040.8,"164660","13","Insufficient Data","Insufficient Data","0.987","Insufficient Data","Insufficient Data","0.839","1.141"
"Pediatric","All","2022","Georgia","13","10","20","50.0%","25345",27739.824,"54249","10","Insufficient Data","Insufficient Data","0.875","Insufficient Data","Insufficient Data","0.802","1.069"
"Pediatric","All","2022","Hawaii","15","0","3","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Idaho","16","2","6","33.3%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Illinois","17","11","38","28.9%","55451",60662.92,"113229","11","Insufficient Data","Insufficient Data","0.828","Insufficient Data","Insufficient Data","0.806","1.080"
"Pediatric","All","2022","Indiana","18","13","25","52.0%","28831",33847.434,"63271","12","Insufficient Data","Insufficient Data","0.747","Insufficient Data","Insufficient Data","0.705","0.933"
"Pediatric","All","2022","Iowa","19","3","16","18.8%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Kansas","20","4","11","36.4%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Kentucky","21","6","16","37.5%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Louisiana","22","9","21","42.9%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Maine","23","2","3","66.7%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Maryland","24","5","19","26.3%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Massachusetts","25","5","23","21.7%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Michigan","26","8","19","42.1%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Minnesota","27","8","13","61.5%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Mississippi","28","2","14","14.3%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Missouri","29","10","16","62.5%","86349",99513.22,"191129","10","Insufficient Data","Insufficient Data","0.879","Insufficient Data","Insufficient Data","0.590","0.979"
