"Event Year","ID Event Year","Phenotype","ID Phenotype","Nation","Infectious Event Type","ID Infectious Event Type","Percent Resistant","Number Resistant","Number of Isolates Tested","Lower CI","Upper CI"
2014,"129","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","2.0",36,1821,"1.4","2.7"
2015,"300","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","1.3",29,2160,"0.9","1.9"
2016,"301","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","1.0",22,2102,"0.7","1.6"
2017,"302","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","0.9",18,2055,"0.5","1.4"
2018,"303","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","1.1",24,2088,"0.8","1.7"
2019,"304","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","0.6",11,1929,"0.3","1.0"
2020,"305","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","0.9",15,1686,"0.5","1.4"
2021,"306","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","0.4",8,2093,"0.2","0.7"
2011,"35","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","1.4",13,933,"0.8","2.3"
2012,"36","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","0.9",14,1584,"0.5","1.4"
2013,"37","Daptomycin-resistant MRSA","23","United States","All Infectious Event Type Data","120","1.0",17,1705,"0.6","1.6"
