"Event Year","ID Event Year","Phenotype","ID Phenotype","Nation","Infectious Event Type","ID Infectious Event Type","Percent Resistant","Number Resistant","Number of Isolates Tested","Lower CI","Upper CI"
2014,"129","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.7",20,2790,"0.5","1.1"
2015,"300","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.6",19,3202,"0.4","0.9"
2016,"301","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.5",16,3091,"0.3","0.8"
2017,"302","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.9",25,2854,"0.6","1.3"
2018,"303","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.5",15,2810,"0.3","0.9"
2019,"304","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.3",7,2739,"0.1","0.5"
2020,"305","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.4",9,2261,"0.2","0.7"
2021,"306","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.4",10,2592,"0.2","0.7"
2011,"35","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.8",14,1844,"0.4","1.2"
2012,"36","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.7",20,2825,"0.4","1.1"
2013,"37","Linezolid-resistant MRSA","25","United States","All Infectious Event Type Data","120","0.8",22,2866,"0.5","1.1"
