"Event Year","ID Event Year","Phenotype","ID Phenotype","Nation","Infectious Event Type","ID Infectious Event Type","Percent Resistant","Number Resistant","Number of Isolates Tested","Lower CI","Upper CI"
2014,"129","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","45.1",5352,11864,"44.2","46.0"
2015,"300","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","45.8",6173,13464,"45.0","46.7"
2016,"301","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","44.4",5803,13082,"43.5","45.2"
2017,"302","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","42.8",5408,12629,"42.0","43.7"
2018,"303","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","42.2",5135,12172,"41.3","43.1"
2019,"304","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","40.6",4839,11905,"39.8","41.5"
2020,"305","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","40.6",3853,9483,"39.6","41.6"
2021,"306","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","40.0",4134,10344,"39.0","40.9"
2011,"35","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","46.6",3762,8074,"45.5","47.7"
2012,"36","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","46.9",5372,11450,"46.0","47.8"
2013,"37","Methicillin-resistant <em>Staphylococcus aureus</em>","21","United States","All Infectious Event Type Data","120","46.9",5563,11856,"46.0","47.8"
