"Event Year","ID Event Year","Phenotype","ID Phenotype","Nation","Infectious Event Type","ID Infectious Event Type","Percent Resistant","Number Resistant","Number of Isolates Tested","Lower CI","Upper CI"
2014,"129","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","49.0",438,893,"45.8","52.3"
2015,"300","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","44.0",489,1111,"41.1","46.9"
2016,"301","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","42.9",346,806,"39.5","46.4"
2017,"302","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","42.0",309,735,"38.5","45.6"
2018,"303","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","38.8",264,680,"35.2","42.5"
2019,"304","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","32.7",196,599,"29.1","36.6"
2020,"305","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","39.3",205,521,"35.2","43.6"
2021,"306","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","41.3",250,606,"37.4","45.2"
2011,"35","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","61.6",475,771,"58.1","65.0"
2012,"36","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","53.5",524,980,"50.3","56.6"
2013,"37","MDR <em>Acinetobacter</em>","1","United States","All Infectious Event Type Data","120","56.1",568,1013,"53.0","59.1"
