"ID State","State","Year","Prescriptions per 1,000 Enrollees","Antibiotic Class"
"1","Alabama","2018",1774,"All classes"
"2","Alaska","2018",1184,"All classes"
"4","Arizona","2018",1333,"All classes"
"5","Arkansas","2018",1652,"All classes"
"6","California","2018",1190,"All classes"
"8","Colorado","2018",1177,"All classes"
"9","Connecticut","2018",1329,"All classes"
"10","Delaware","2018",1261,"All classes"
"11","District of Columbia","2018",1513,"All classes"
"12","Florida","2018",1546,"All classes"
"13","Georgia","2018",1552,"All classes"
"15","Hawaii","2018",1038,"All classes"
"16","Idaho","2018",1237,"All classes"
"17","Illinois","2018",1361,"All classes"
"18","Indiana","2018",1591,"All classes"
"19","Iowa","2018",1474,"All classes"
"20","Kansas","2018",1623,"All classes"
"21","Kentucky","2018",1814,"All classes"
"22","Louisiana","2018",1663,"All classes"
"23","Maine","2018",1118,"All classes"
"24","Maryland","2018",1368,"All classes"
"25","Massachusetts","2018",1339,"All classes"
"26","Michigan","2018",1343,"All classes"
"27","Minnesota","2018",1232,"All classes"
"28","Mississippi","2018",1797,"All classes"
"29","Missouri","2018",1539,"All classes"
"30","Montana","2018",1127,"All classes"
"31","Nebraska","2018",1576,"All classes"
"32","Nevada","2018",1219,"All classes"
"33","New Hampshire","2018",1233,"All classes"
"34","New Jersey","2018",1374,"All classes"
"35","New Mexico","2018",1122,"All classes"
"36","New York","2018",1388,"All classes"
"37","North Carolina","2018",1492,"All classes"
"38","North Dakota","2018",1462,"All classes"
"39","Ohio","2018",1502,"All classes"
"40","Oklahoma","2018",1602,"All classes"
"41","Oregon","2018",1049,"All classes"
"42","Pennsylvania","2018",1430,"All classes"
"44","Rhode Island","2018",1324,"All classes"
"45","South Carolina","2018",1457,"All classes"
"46","South Dakota","2018",1454,"All classes"
"47","Tennessee","2018",1763,"All classes"
"48","Texas","2018",1560,"All classes"
"49","Utah","2018",1389,"All classes"
"50","Vermont","2018",996,"All classes"
"51","Virginia","2018",1446,"All classes"
"53","Washington","2018",1103,"All classes"
"54","West Virginia","2018",1746,"All classes"
"55","Wisconsin","2018",1224,"All classes"
"56","Wyoming","2018",1235,"All classes"
