"State","SAAR Population","Event Year","ID Event Year","ID SAAR Population","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting"
"Alabama","Adult","2021","306","1","1","20","91","22.0"
"Alaska","Adult","2021","306","1","2","5","16","31.3"
"Arizona","Adult","2021","306","1","4","11","78","14.1"
"Arkansas","Adult","2021","306","1","5","24","66","36.4"
"California","Adult","2021","306","1","6","109","362","30.1"
"Colorado","Adult","2021","306","1","8","46","84","54.8"
"Connecticut","Adult","2021","306","1","9","12","31","38.7"
"Delaware","Adult","2021","306","1","10","4","8","50.0"
"District of Columbia","Adult","2021","306","1","11","5","7","71.4"
"Florida","Adult","2021","306","1","12","99","222","44.6"
"Georgia","Adult","2021","306","1","13","56","133","42.1"
"Hawaii","Adult","2021","306","1","15","5","20","25.0"
"Idaho","Adult","2021","306","1","16","7","36","19.4"
"Illinois","Adult","2021","306","1","17","36","181","19.9"
"Indiana","Adult","2021","306","1","18","76","121","62.8"
"Iowa","Adult","2021","306","1","19","12","103","11.7"
"Kansas","Adult","2021","306","1","20","19","110","17.3"
"Kentucky","Adult","2021","306","1","21","51","95","53.7"
"Louisiana","Adult","2021","306","1","22","46","111","41.4"
"Maine","Adult","2021","306","1","23","19","28","67.9"
"Maryland","Adult","2021","306","1","24","15","48","31.3"
"Massachusetts","Adult","2021","306","1","25","24","66","36.4"
"Michigan","Adult","2021","306","1","26","48","134","35.8"
"Minnesota","Adult","2021","306","1","27","43","105","41.0"
"Mississippi","Adult","2021","306","1","28","20","78","25.6"
"Missouri","Adult","2021","306","1","29","67","100","67.0"
"Montana","Adult","2021","306","1","30","18","35","51.4"
"Nebraska","Adult","2021","306","1","31","13","54","24.1"
"Nevada","Adult","2021","306","1","32","13","34","38.2"
"New Hampshire","Adult","2021","306","1","33","7","25","28.0"
"New Jersey","Adult","2021","306","1","34","28","72","38.9"
"New Mexico","Adult","2021","306","1","35","16","46","34.8"
"New York","Adult","2021","306","1","36","82","190","43.2"
"North Carolina","Adult","2021","306","1","37","67","117","57.3"
"North Dakota","Adult","2021","306","1","38","4","27","14.8"
"Ohio","Adult","2021","306","1","39","69","167","41.3"
"Oklahoma","Adult","2021","306","1","40","31","103","30.1"
"Oregon","Adult","2021","306","1","41","21","60","35.0"
"Pennsylvania","Adult","2021","306","1","42","25","186","13.4"
"Puerto Rico","Adult","2021","306","1","72","5","22","22.7"
"Rhode Island","Adult","2021","306","1","44","4","11","36.4"
"South Carolina","Adult","2021","306","1","45","44","66","66.7"
"South Dakota","Adult","2021","306","1","46","6","60","10.0"
"Tennessee","Adult","2021","306","1","47","47","107","43.9"
"Texas","Adult","2021","306","1","48","130","405","32.1"
"Utah","Adult","2021","306","1","49","16","46","34.8"
"Vermont","Adult","2021","306","1","50","2","15","13.3"
"Virginia","Adult","2021","306","1","51","70","91","76.9"
"Washington","Adult","2021","306","1","53","34","91","37.4"
"West Virginia","Adult","2021","306","1","54","15","54","27.8"
"Wisconsin","Adult","2021","306","1","55","48","139","34.5"
"Wyoming","Adult","2021","306","1","56","2","29","6.9"
