"State","SAAR Population","Event Year","ID Event Year","ID SAAR Population","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting"
"Alabama","Neonatal","2022","307","3","1","9","20","45.0"
"Alaska","Neonatal","2022","307","3","2","3","4","75.0"
"Arizona","Neonatal","2022","307","3","4","5","26","19.2"
"Arkansas","Neonatal","2022","307","3","5","9","17","52.9"
"California","Neonatal","2022","307","3","6","86","172","50.0"
"Colorado","Neonatal","2022","307","3","8","25","32","78.1"
"Connecticut","Neonatal","2022","307","3","9","6","14","42.9"
"Delaware","Neonatal","2022","307","3","10","3","4","75.0"
"District of Columbia","Neonatal","2022","307","3","11","3","6","50.0"
"Florida","Neonatal","2022","307","3","12","35","78","44.9"
"Georgia","Neonatal","2022","307","3","13","24","48","50.0"
"Hawaii","Neonatal","2022","307","3","15","0","3","0.0"
"Idaho","Neonatal","2022","307","3","16","5","12","41.7"
"Illinois","Neonatal","2022","307","3","17","21","66","31.8"
"Indiana","Neonatal","2022","307","3","18","29","38","76.3"
"Iowa","Neonatal","2022","307","3","19","4","16","25.0"
"Kansas","Neonatal","2022","307","3","20","6","19","31.6"
"Kentucky","Neonatal","2022","307","3","21","18","22","81.8"
"Louisiana","Neonatal","2022","307","3","22","23","34","67.6"
"Maine","Neonatal","2022","307","3","23","3","3","100.0"
"Maryland","Neonatal","2022","307","3","24","10","24","41.7"
"Massachusetts","Neonatal","2022","307","3","25","10","28","35.7"
"Michigan","Neonatal","2022","307","3","26","18","31","58.1"
"Minnesota","Neonatal","2022","307","3","27","13","22","59.1"
"Mississippi","Neonatal","2022","307","3","28","5","18","27.8"
"Missouri","Neonatal","2022","307","3","29","22","33","66.7"
"Montana","Neonatal","2022","307","3","30","8","8","100.0"
"Nebraska","Neonatal","2022","307","3","31","6","14","42.9"
"Nevada","Neonatal","2022","307","3","32","10","13","76.9"
"New Hampshire","Neonatal","2022","307","3","33","2","6","33.3"
"New Jersey","Neonatal","2022","307","3","34","17","35","48.6"
"New Mexico","Neonatal","2022","307","3","35","2","7","28.6"
"New York","Neonatal","2022","307","3","36","44","76","57.9"
"North Carolina","Neonatal","2022","307","3","37","25","39","64.1"
"North Dakota","Neonatal","2022","307","3","38","2","6","33.3"
"Ohio","Neonatal","2022","307","3","39","20","38","52.6"
"Oklahoma","Neonatal","2022","307","3","40","10","22","45.5"
"Oregon","Neonatal","2022","307","3","41","9","12","75.0"
"Pennsylvania","Neonatal","2022","307","3","42","15","63","23.8"
"Puerto Rico","Neonatal","2022","307","3","72","2","18","11.1"
"Rhode Island","Neonatal","2022","307","3","44","1","1","100.0"
"South Carolina","Neonatal","2022","307","3","45","12","19","63.2"
"South Dakota","Neonatal","2022","307","3","46","1","3","33.3"
"Tennessee","Neonatal","2022","307","3","47","21","33","63.6"
"Texas","Neonatal","2022","307","3","48","77","156","49.4"
"Utah","Neonatal","2022","307","3","49","10","21","47.6"
"Vermont","Neonatal","2022","307","3","50","1","1","100.0"
"Virginia","Neonatal","2022","307","3","51","26","34","76.5"
"Washington","Neonatal","2022","307","3","53","21","28","75.0"
"West Virginia","Neonatal","2022","307","3","54","2","6","33.3"
"Wisconsin","Neonatal","2022","307","3","55","11","35","31.4"
"Wyoming","Neonatal","2022","307","3","56","0","2","0.0"
