"State","SAAR Population","Event Year","ID Event Year","ID SAAR Population","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting"
"Alabama","Pediatric","2022","307","2","1","4","14","28.6"
"Alaska","Pediatric","2022","307","2","2","3","4","75.0"
"Arizona","Pediatric","2022","307","2","4","1","11","9.1"
"Arkansas","Pediatric","2022","307","2","5","3","7","42.9"
"California","Pediatric","2022","307","2","6","42","93","45.2"
"Colorado","Pediatric","2022","307","2","8","5","12","41.7"
"Connecticut","Pediatric","2022","307","2","9","3","6","50.0"
"Delaware","Pediatric","2022","307","2","10","2","4","50.0"
"District of Columbia","Pediatric","2022","307","2","11","0","3","0.0"
"Florida","Pediatric","2022","307","2","12","13","50","26.0"
"Georgia","Pediatric","2022","307","2","13","10","20","50.0"
"Hawaii","Pediatric","2022","307","2","15","0","3","0.0"
"Idaho","Pediatric","2022","307","2","16","2","6","33.3"
"Illinois","Pediatric","2022","307","2","17","11","38","28.9"
"Indiana","Pediatric","2022","307","2","18","13","25","52.0"
"Iowa","Pediatric","2022","307","2","19","3","16","18.8"
"Kansas","Pediatric","2022","307","2","20","4","11","36.4"
"Kentucky","Pediatric","2022","307","2","21","6","16","37.5"
"Louisiana","Pediatric","2022","307","2","22","9","21","42.9"
"Maine","Pediatric","2022","307","2","23","2","3","66.7"
"Maryland","Pediatric","2022","307","2","24","5","19","26.3"
"Massachusetts","Pediatric","2022","307","2","25","5","23","21.7"
"Michigan","Pediatric","2022","307","2","26","8","19","42.1"
"Minnesota","Pediatric","2022","307","2","27","8","13","61.5"
"Mississippi","Pediatric","2022","307","2","28","2","14","14.3"
"Missouri","Pediatric","2022","307","2","29","10","16","62.5"
"Montana","Pediatric","2022","307","2","30","4","5","80.0"
"Nebraska","Pediatric","2022","307","2","31","1","6","16.7"
"Nevada","Pediatric","2022","307","2","32","4","6","66.7"
"New Hampshire","Pediatric","2022","307","2","33","4","6","66.7"
"New Jersey","Pediatric","2022","307","2","34","14","35","40.0"
"New Mexico","Pediatric","2022","307","2","35","4","11","36.4"
"New York","Pediatric","2022","307","2","36","37","60","61.7"
"North Carolina","Pediatric","2022","307","2","37","17","28","60.7"
"North Dakota","Pediatric","2022","307","2","38","0","5","0.0"
"Ohio","Pediatric","2022","307","2","39","10","22","45.5"
"Oklahoma","Pediatric","2022","307","2","40","4","5","80.0"
"Oregon","Pediatric","2022","307","2","41","7","9","77.8"
"Pennsylvania","Pediatric","2022","307","2","42","4","37","10.8"
"Puerto Rico","Pediatric","2022","307","2","72","3","31","9.7"
"Rhode Island","Pediatric","2022","307","2","44","0","2","0.0"
"South Carolina","Pediatric","2022","307","2","45","8","13","61.5"
"South Dakota","Pediatric","2022","307","2","46","1","4","25.0"
"Tennessee","Pediatric","2022","307","2","47","7","12","58.3"
"Texas","Pediatric","2022","307","2","48","32","70","45.7"
"Utah","Pediatric","2022","307","2","49","3","9","33.3"
"Vermont","Pediatric","2022","307","2","50","1","2","50.0"
"Virginia","Pediatric","2022","307","2","51","11","20","55.0"
"Washington","Pediatric","2022","307","2","53","9","12","75.0"
"West Virginia","Pediatric","2022","307","2","54","2","9","22.2"
"Wisconsin","Pediatric","2022","307","2","55","7","12","58.3"
"Wyoming","Pediatric","2022","307","2","56","1","3","33.3"
