The SAS System,,,,,,,,,
,,,,,,,,,
Phenotype,State,eventtype,year,agecat,numTested,numNonSuscep,pctNonSuscep,Suppress,displayTested
Ecoli_ESCeph,AK,All,2018,Adult,31,6,19.4,,
Ecoli_ESCeph,AK,All,2018,All,31,6,19.4,,
Ecoli_ESCeph,AK,All,2018,Peds,0,.,.,Zero,
Ecoli_ESCeph,AL,All,2018,Adult,232,41,17.7,,
Ecoli_ESCeph,AL,All,2018,All,249,43,17.3,,
Ecoli_ESCeph,AL,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AR,All,2018,Adult,147,26,17.7,,
Ecoli_ESCeph,AR,All,2018,All,151,28,18.5,,
Ecoli_ESCeph,AR,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AZ,All,2018,Adult,218,29,13.3,,
Ecoli_ESCeph,AZ,All,2018,All,243,35,14.4,,
Ecoli_ESCeph,AZ,All,2018,Peds,25,6,24,,
Ecoli_ESCeph,CA,All,2018,Adult,2147,693,32.3,,
Ecoli_ESCeph,CA,All,2018,All,2306,732,31.7,,
Ecoli_ESCeph,CA,All,2018,Peds,159,39,24.5,,
Ecoli_ESCeph,CO,All,2018,Adult,195,33,16.9,,
Ecoli_ESCeph,CO,All,2018,All,202,34,16.8,,
Ecoli_ESCeph,CO,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,CT,All,2018,Adult,132,38,28.8,,
Ecoli_ESCeph,CT,All,2018,All,134,38,28.4,,
Ecoli_ESCeph,CT,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,DC,All,2018,Adult,85,19,22.4,,
Ecoli_ESCeph,DC,All,2018,All,94,20,21.3,,
Ecoli_ESCeph,DC,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,DE,All,2018,Adult,36,3,8.3,,
Ecoli_ESCeph,DE,All,2018,All,39,5,12.8,,
Ecoli_ESCeph,DE,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,FL,All,2018,Adult,1089,279,25.6,,
Ecoli_ESCeph,FL,All,2018,All,1122,283,25.2,,
Ecoli_ESCeph,FL,All,2018,Peds,33,4,12.1,,
Ecoli_ESCeph,GA,All,2018,Adult,453,69,15.2,,
Ecoli_ESCeph,GA,All,2018,All,470,72,15.3,,
Ecoli_ESCeph,GA,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,HI,All,2018,Adult,53,11,20.8,,
Ecoli_ESCeph,HI,All,2018,All,55,11,20,,
Ecoli_ESCeph,HI,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,IA,All,2018,Adult,114,11,9.6,,
Ecoli_ESCeph,IA,All,2018,All,124,12,9.7,,
Ecoli_ESCeph,IA,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,ID,All,2018,Adult,81,12,14.8,,
Ecoli_ESCeph,ID,All,2018,All,82,12,14.6,,
Ecoli_ESCeph,ID,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,IL,All,2018,Adult,489,95,19.4,,
Ecoli_ESCeph,IL,All,2018,All,509,99,19.4,,
Ecoli_ESCeph,IL,All,2018,Peds,20,4,20,,
Ecoli_ESCeph,IN,All,2018,Adult,302,38,12.6,,
Ecoli_ESCeph,IN,All,2018,All,316,40,12.7,,
Ecoli_ESCeph,IN,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,KS,All,2018,Adult,145,15,10.3,,
Ecoli_ESCeph,KS,All,2018,All,147,15,10.2,,
Ecoli_ESCeph,KS,All,2018,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,KY,All,2018,Adult,189,63,33.3,,
