The SAS System,,,,,,,,,
,,,,,,,,,
Phenotype,state,eventtype,year,agecat,numTested,numNonSuscep,pctNonSuscep,Suppress,displayTested
Ecoli_ESCeph,AK,All,2020,Adult,28,5,17.9,,
Ecoli_ESCeph,AK,All,2020,All,28,5,17.9,,
Ecoli_ESCeph,AK,All,2020,Peds,0,,,Zero,
Ecoli_ESCeph,AL,All,2020,Adult,215,49,22.8,,
Ecoli_ESCeph,AL,All,2020,All,222,49,22.1,,
Ecoli_ESCeph,AL,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,AR,All,2020,Adult,114,21,18.4,,
Ecoli_ESCeph,AR,All,2020,All,115,21,18.3,,
Ecoli_ESCeph,AR,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,AZ,All,2020,Adult,237,50,21.1,,
Ecoli_ESCeph,AZ,All,2020,All,250,52,20.8,,
Ecoli_ESCeph,AZ,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,CA,All,2020,Adult,1848,695,37.6,,
Ecoli_ESCeph,CA,All,2020,All,1948,734,37.7,,
Ecoli_ESCeph,CA,All,2020,Peds,100,39,39,,
Ecoli_ESCeph,CO,All,2020,Adult,213,35,16.4,,
Ecoli_ESCeph,CO,All,2020,All,218,35,16.1,,
Ecoli_ESCeph,CO,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,CT,All,2020,Adult,74,25,33.8,,
Ecoli_ESCeph,CT,All,2020,All,77,26,33.8,,
Ecoli_ESCeph,CT,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,DC,All,2020,Adult,46,18,39.1,,
Ecoli_ESCeph,DC,All,2020,All,58,26,44.8,,
Ecoli_ESCeph,DC,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,DE,All,2020,Adult,49,8,16.3,,
Ecoli_ESCeph,DE,All,2020,All,49,8,16.3,,
Ecoli_ESCeph,DE,All,2020,Peds,0,,,Zero,
Ecoli_ESCeph,FL,All,2020,Adult,870,243,27.9,,
Ecoli_ESCeph,FL,All,2020,All,891,247,27.7,,
Ecoli_ESCeph,FL,All,2020,Peds,21,4,19,,
Ecoli_ESCeph,GA,All,2020,Adult,366,73,19.9,,
Ecoli_ESCeph,GA,All,2020,All,378,73,19.3,,
Ecoli_ESCeph,GA,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,HI,All,2020,Adult,38,10,26.3,,
Ecoli_ESCeph,HI,All,2020,All,40,10,25,,
Ecoli_ESCeph,HI,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,IA,All,2020,Adult,99,15,15.2,,
Ecoli_ESCeph,IA,All,2020,All,101,16,15.8,,
Ecoli_ESCeph,IA,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,ID,All,2020,Adult,72,11,15.3,,
Ecoli_ESCeph,ID,All,2020,All,73,11,15.1,,
Ecoli_ESCeph,ID,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,IL,All,2020,Adult,468,103,22,,
Ecoli_ESCeph,IL,All,2020,All,487,107,22,,
Ecoli_ESCeph,IL,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,IN,All,2020,Adult,298,46,15.4,,
Ecoli_ESCeph,IN,All,2020,All,311,46,14.8,,
Ecoli_ESCeph,IN,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,KS,All,2020,Adult,129,30,23.3,,
Ecoli_ESCeph,KS,All,2020,All,132,30,22.7,,
Ecoli_ESCeph,KS,All,2020,Peds,,,,LowCount,<20
Ecoli_ESCeph,KY,All,2020,Adult,216,56,25.9,,
Ecoli_ESCeph,KY,All,2020,All,221,56,25.3,,
