,,,,,,,,,
,,,,,,,,,
phenotype,State,eventtype,year,agecat,numTested,numNonSuscep,pctNonSuscep,Suppress,displayTested
Ecoli_ESCeph,AK,All,2011,Adult,.,.,.,LowCount,<20
Ecoli_ESCeph,AK,All,2011,All,.,.,.,LowCount,<20
Ecoli_ESCeph,AK,All,2011,Peds,0,.,.,Zero,
Ecoli_ESCeph,AL,All,2011,Adult,241,20,8.3,,
Ecoli_ESCeph,AL,All,2011,All,248,20,8.1,,
Ecoli_ESCeph,AL,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AR,All,2011,Adult,28,4,14.3,,
Ecoli_ESCeph,AR,All,2011,All,32,4,12.5,,
Ecoli_ESCeph,AR,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AZ,All,2011,Adult,63,10,15.9,,
Ecoli_ESCeph,AZ,All,2011,All,71,11,15.5,,
Ecoli_ESCeph,AZ,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,CA,All,2011,Adult,714,166,23.2,,
Ecoli_ESCeph,CA,All,2011,All,802,188,23.4,,
Ecoli_ESCeph,CA,All,2011,Peds,88,22,25,,
Ecoli_ESCeph,CO,All,2011,Adult,69,16,23.2,,
Ecoli_ESCeph,CO,All,2011,All,72,16,22.2,,
Ecoli_ESCeph,CO,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,CT,All,2011,Adult,.,.,.,LowCount,<20
Ecoli_ESCeph,CT,All,2011,All,.,.,.,LowCount,<20
Ecoli_ESCeph,CT,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,DC,All,2011,Adult,.,.,.,LowCount,<20
Ecoli_ESCeph,DC,All,2011,All,.,.,.,LowCount,<20
Ecoli_ESCeph,DC,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,DE,All,2011,Adult,33,5,15.2,,
Ecoli_ESCeph,DE,All,2011,All,33,5,15.2,,
Ecoli_ESCeph,DE,All,2011,Peds,0,.,.,Zero,
Ecoli_ESCeph,FL,All,2011,Adult,222,43,19.4,,
Ecoli_ESCeph,FL,All,2011,All,233,46,19.7,,
Ecoli_ESCeph,FL,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,GA,All,2011,Adult,173,17,9.8,,
Ecoli_ESCeph,GA,All,2011,All,189,17,9,,
Ecoli_ESCeph,GA,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,HI,All,2011,Adult,29,2,6.9,,
Ecoli_ESCeph,HI,All,2011,All,30,2,6.7,,
Ecoli_ESCeph,HI,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,IA,All,2011,Adult,33,5,15.2,,
Ecoli_ESCeph,IA,All,2011,All,34,5,14.7,,
Ecoli_ESCeph,IA,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,ID,All,2011,Adult,.,.,.,LowCount,<20
Ecoli_ESCeph,ID,All,2011,All,.,.,.,LowCount,<20
Ecoli_ESCeph,ID,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,IL,All,2011,Adult,124,23,18.5,,
Ecoli_ESCeph,IL,All,2011,All,149,24,16.1,,
Ecoli_ESCeph,IL,All,2011,Peds,25,1,4,,
Ecoli_ESCeph,IN,All,2011,Adult,142,13,9.2,,
Ecoli_ESCeph,IN,All,2011,All,154,13,8.4,,
Ecoli_ESCeph,IN,All,2011,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,KS,All,2011,Adult,52,8,15.4,,
Ecoli_ESCeph,KS,All,2011,All,52,8,15.4,,
