"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Adult","All","2022","Alabama","1","23","90","25.6%","548175",613693.2,"946748","23","0.636","0.873","0.967","1.071","1.164","0.890","1.039"
"Adult","All","2022","Alaska","2","5","16","31.3%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","Arizona","4","14","82","17.1%","365787",366941.66,"570756","14","Insufficient Data","Insufficient Data","0.984","Insufficient Data","Insufficient Data","0.782","1.141"
"Adult","All","2022","Arkansas","5","25","70","35.7%","551133",556594.8,"852210","24","0.637","0.913","1.025","1.100","1.190","0.958","1.087"
"Adult","All","2022","California","6","148","359","41.2%","4510856",4380927,"6830041","148","0.862","0.948","1.061","1.193","1.337","1.035","1.091"
"Adult","All","2022","Colorado","8","56","83","67.5%","892321",1015815.44,"1574131","56","0.756","0.812","0.882","0.951","1.120","0.857","0.905"
"Adult","All","2022","Connecticut","9","14","31","45.2%","433509",492087.1,"784034","14","Insufficient Data","Insufficient Data","0.864","Insufficient Data","Insufficient Data","0.809","0.962"
"Adult","All","2022","Delaware","10","5","9","55.6%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","District of Columbia","11","4","8","50.0%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","Florida","12","107","222","48.2%","3060046",3177545.5,"5026604","107","0.803","0.883","0.975","1.062","1.145","0.934","1.011"
"Adult","All","2022","Georgia","13","53","135","39.3%","1558531",1752488.2,"2779619","53","0.665","0.831","0.929","1.005","1.067","0.882","0.974"
"Adult","All","2022","Hawaii","15","4","19","21.1%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","Idaho","16","13","38","34.2%","92851",117980.1,"180320","13","Insufficient Data","Insufficient Data","0.860","Insufficient Data","Insufficient Data","0.727","1.016"
"Adult","All","2022","Illinois","17","53","182","29.1%","1492196",1532644.6,"2403103","53","0.817","0.896","0.977","1.085","1.168","0.932","1.049"
