"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Neonatal","All","2021","Alabama","1","7","20","35.0%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Alaska","2","2","4","50.0%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Arizona","4","3","24","12.5%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Arkansas","5","8","15","53.3%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","California","6","62","170","36.4%","108721",109942.2,"404661","62","0.521","0.747","0.905","1.161","1.565","0.826","1.019"
"Neonatal","All","2021","Colorado","8","25","32","78.1%","14958",25243.43,"103534","25","0.320","0.449","0.576","0.683","0.898","0.449","0.665"
"Neonatal","All","2021","Connecticut","9","5","14","35.7%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Delaware","10","2","4","50.0%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","District of Columbia","11","3","6","50.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Florida","12","32","78","41.0%","53288",56322.55,"223552","32","0.561","0.659","0.909","1.345","1.585","0.742","1.237"
"Neonatal","All","2021","Georgia","13","24","48","50.0%","30305",34962.82,"129911","24","0.462","0.664","0.982","1.166","1.498","0.768","1.152"
"Neonatal","All","2021","Hawaii","15","0","3","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Idaho","16","4","12","33.3%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Illinois","17","15","68","22.0%","31838",37135.73,"130425","15","Insufficient Data","Insufficient Data","0.757","Insufficient Data","Insufficient Data","0.439","1.144"
"Neonatal","All","2021","Indiana","18","27","39","69.2%","31017",40545.26,"168721","27","0.204","0.467","0.655","1.080","1.302","0.582","0.883"
"Neonatal","All","2021","Iowa","19","3","15","20.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Kansas","20","7","19","36.8%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Kentucky","21","14","22","63.6%","16745",17195.32,"78665","14","Insufficient Data","Insufficient Data","1.088","Insufficient Data","Insufficient Data","0.839","1.367"
"Neonatal","All","2021","Louisiana","22","20","34","58.8%","41972",30051.93,"129040","20","0.373","0.759","1.103","1.587","2.316","0.831","1.583"
"Neonatal","All","2021","Maine","23","2","3","66.6%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Maryland","24","6","24","25.0%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Massachusetts","25","9","27","33.3%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2021","Michigan","26","11","29","37.9%","22263",25975.17,"95431","11","Insufficient Data","Insufficient Data","0.891","Insufficient Data","Insufficient Data","0.746","1.186"
