"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Pediatric","All","2023","Alabama","1","5","14","35.7%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Alaska","2","3","5","60.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Arizona","4","1","10","10.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Arkansas","5","4","6","66.6%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","California","6","41","90","45.5%","225921",246416.77,"452076","41","0.596","0.778","0.896","1.054","1.133","0.814","0.992"
"Pediatric","All","2023","Colorado","8","5","8","62.5%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Connecticut","9","4","6","66.6%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Delaware","10","2","4","50.0%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","District of Columbia","11","1","3","33.3%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Florida","12","15","43","34.8%","115305",110870.53,"202086","15","Insufficient Data","Insufficient Data","0.968","Insufficient Data","Insufficient Data","0.928","1.107"
"Pediatric","All","2023","Georgia","13","12","19","63.1%","34280",35835.99,"69270","12","Insufficient Data","Insufficient Data","0.938","Insufficient Data","Insufficient Data","0.799","1.105"
"Pediatric","All","2023","Hawaii","15","1","3","33.3%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Idaho","16","4","6","66.6%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Illinois","17","11","34","32.3%","49317",52708.535,"97423","11","Insufficient Data","Insufficient Data","0.917","Insufficient Data","Insufficient Data","0.802","1.028"
"Pediatric","All","2023","Indiana","18","11","20","55.0%","37948",47036.42,"89400","11","Insufficient Data","Insufficient Data","0.830","Insufficient Data","Insufficient Data","0.656","0.984"
"Pediatric","All","2023","Iowa","19","3","16","18.7%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Kansas","20","4","12","33.3%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Kentucky","21","7","13","53.8%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Louisiana","22","9","19","47.3%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Maine","23","2","3","66.6%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
