The SAS System,,,,,,,,,
,,,,,,,,,
Phenotype,State,eventtype,year,agecat,numTested,numNonSuscep,pctNonSuscep,Suppress,displayTested
Ecoli_ESCeph,AK,All,2015,Adult,21,3,14.3,,
Ecoli_ESCeph,AK,All,2015,All,22,3,13.6,,
Ecoli_ESCeph,AK,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AL,All,2015,Adult,276,40,14.5,,
Ecoli_ESCeph,AL,All,2015,All,295,42,14.2,,
Ecoli_ESCeph,AL,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AR,All,2015,Adult,131,20,15.3,,
Ecoli_ESCeph,AR,All,2015,All,137,22,16.1,,
Ecoli_ESCeph,AR,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,AZ,All,2015,Adult,266,51,19.2,,
Ecoli_ESCeph,AZ,All,2015,All,286,55,19.2,,
Ecoli_ESCeph,AZ,All,2015,Peds,20,4,20,,
Ecoli_ESCeph,CA,All,2015,Adult,2269,708,31.2,,
Ecoli_ESCeph,CA,All,2015,All,2405,741,30.8,,
Ecoli_ESCeph,CA,All,2015,Peds,136,33,24.3,,
Ecoli_ESCeph,CO,All,2015,Adult,162,22,13.6,,
Ecoli_ESCeph,CO,All,2015,All,170,22,12.9,,
Ecoli_ESCeph,CO,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,CT,All,2015,Adult,146,40,27.4,,
Ecoli_ESCeph,CT,All,2015,All,147,41,27.9,,
Ecoli_ESCeph,CT,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,DC,All,2015,Adult,78,19,24.4,,
Ecoli_ESCeph,DC,All,2015,All,86,19,22.1,,
Ecoli_ESCeph,DC,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,DE,All,2015,Adult,67,7,10.4,,
Ecoli_ESCeph,DE,All,2015,All,69,8,11.6,,
Ecoli_ESCeph,DE,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,FL,All,2015,Adult,1308,287,21.9,,
Ecoli_ESCeph,FL,All,2015,All,1355,289,21.3,,
Ecoli_ESCeph,FL,All,2015,Peds,47,2,4.3,,
Ecoli_ESCeph,GA,All,2015,Adult,576,85,14.8,,
Ecoli_ESCeph,GA,All,2015,All,595,86,14.5,,
Ecoli_ESCeph,GA,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,HI,All,2015,Adult,38,8,21.1,,
Ecoli_ESCeph,HI,All,2015,All,38,8,21.1,,
Ecoli_ESCeph,HI,All,2015,Peds,0,.,.,Zero,
Ecoli_ESCeph,IA,All,2015,Adult,130,14,10.8,,
Ecoli_ESCeph,IA,All,2015,All,135,14,10.4,,
Ecoli_ESCeph,IA,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,ID,All,2015,Adult,82,5,6.1,,
Ecoli_ESCeph,ID,All,2015,All,85,6,7.1,,
Ecoli_ESCeph,ID,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,IL,All,2015,Adult,591,105,17.8,,
Ecoli_ESCeph,IL,All,2015,All,612,108,17.6,,
Ecoli_ESCeph,IL,All,2015,Peds,21,3,14.3,,
Ecoli_ESCeph,IN,All,2015,Adult,350,43,12.3,,
Ecoli_ESCeph,IN,All,2015,All,364,43,11.8,,
Ecoli_ESCeph,IN,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,KS,All,2015,Adult,153,15,9.8,,
Ecoli_ESCeph,KS,All,2015,All,156,15,9.6,,
Ecoli_ESCeph,KS,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,KY,All,2015,Adult,264,64,24.2,,
Ecoli_ESCeph,KY,All,2015,All,267,65,24.3,,
Ecoli_ESCeph,KY,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,LA,All,2015,Adult,363,60,16.5,,
Ecoli_ESCeph,LA,All,2015,All,376,62,16.5,,
Ecoli_ESCeph,LA,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,MA,All,2015,Adult,468,104,22.2,,
Ecoli_ESCeph,MA,All,2015,All,492,107,21.7,,
Ecoli_ESCeph,MA,All,2015,Peds,24,3,12.5,,
Ecoli_ESCeph,MD,All,2015,Adult,280,42,15,,
Ecoli_ESCeph,MD,All,2015,All,288,44,15.3,,
Ecoli_ESCeph,MD,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,ME,All,2015,Adult,61,5,8.2,,
Ecoli_ESCeph,ME,All,2015,All,65,6,9.2,,
Ecoli_ESCeph,ME,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,MI,All,2015,Adult,502,88,17.5,,
Ecoli_ESCeph,MI,All,2015,All,512,88,17.2,,
Ecoli_ESCeph,MI,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,MN,All,2015,Adult,274,38,13.9,,
Ecoli_ESCeph,MN,All,2015,All,290,42,14.5,,
Ecoli_ESCeph,MN,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,MO,All,2015,Adult,364,68,18.7,,
Ecoli_ESCeph,MO,All,2015,All,380,70,18.4,,
Ecoli_ESCeph,MO,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,MS,All,2015,Adult,227,52,22.9,,
Ecoli_ESCeph,MS,All,2015,All,231,52,22.5,,
Ecoli_ESCeph,MS,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,MT,All,2015,Adult,39,1,2.6,,
Ecoli_ESCeph,MT,All,2015,All,39,1,2.6,,
Ecoli_ESCeph,MT,All,2015,Peds,0,.,.,Zero,
Ecoli_ESCeph,NC,All,2015,Adult,446,50,11.2,,
Ecoli_ESCeph,NC,All,2015,All,465,51,11,,
Ecoli_ESCeph,NC,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,ND,All,2015,Adult,25,4,16,,
Ecoli_ESCeph,ND,All,2015,All,26,4,15.4,,
Ecoli_ESCeph,ND,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,NE,All,2015,Adult,85,14,16.5,,
Ecoli_ESCeph,NE,All,2015,All,90,15,16.7,,
Ecoli_ESCeph,NE,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,NH,All,2015,Adult,74,5,6.8,,
Ecoli_ESCeph,NH,All,2015,All,75,5,6.7,,
Ecoli_ESCeph,NH,All,2015,Peds,.,.,.,LowCount,<20
Ecoli_ESCeph,NJ,All,2015,Adult,377,113,30,,
Ecoli_ESCeph,NJ,All,2015,All,382,115,30.1,,
