Event Year,State,Observed Antimicrobial Days,Predicted Antimicrobial Days,SAAR
2021,AL,450718.0,496764.1,0.9073
2021,AK,,,
2021,AZ,,,
2021,AR,482607.0,481097.7,1.0031
2021,CA,3390647.0,3307234.5,1.0252
2021,CO,837102.0,971642.6,0.8615
2021,CT,288858.0,340608.66,0.8481
2021,DE,,,
2021,DC,,,
2021,FL,2871072.0,3024131.0,0.9494
2021,GA,1529654.0,1678915.2,0.9111
2021,HI,,,
2021,ID,,,
2021,IL,919832.0,956318.7,0.9618
2021,IN,1267508.0,1352632.1,0.9371
2021,IA,280947.0,317249.0,0.8856
2021,KS,250301.0,279735.28,0.8948
2021,KY,889091.0,901910.75,0.9858
2021,LA,826739.0,789294.2,1.0474
2021,ME,272743.0,295145.72,0.9241
2021,MD,332061.0,361345.0,0.919
2021,MA,650860.0,726409.3,0.896
2021,MI,969539.0,1137912.8,0.852
2021,MN,868308.0,952384.75,0.9117
2021,MS,449724.0,417376.25,1.0775
2021,MO,1515384.0,1530114.9,0.9904
2021,MT,193839.0,247849.31,0.7821
2021,NM,161611.0,181898.53,0.8885
2021,NC,1618549.0,1778580.8,0.91
2021,,,,
2021,NE,213749.0,251502.58,0.8499
2021,NV,521261.0,501105.7,1.0402
2021,NH,,,
2021,NJ,695462.0,848235.75,0.8199
2021,NY,2849849.0,3290158.8,0.8662
2021,ND,,,
2021,OH,1759338.0,1960878.1,0.8972
2021,OK,655516.0,646516.5,1.0139
2021,OR,402669.0,485941.8,0.8286
2021,PA,525708.0,629708.5,0.8348
2021,PR,,,
2021,RI,,,
2021,SC,1015261.0,1101713.8,0.9215
2021,SD,,,
2021,TN,1311956.0,1347116.0,0.9739
2021,TX,3219863.0,3145809.5,1.0235
2021,UT,158262.0,192985.56,0.8201
2021,VT,,,
2021,VA,1584607.0,1654635.9,0.9577
2021,,,,
2021,WA,695647.0,856899.75,0.8118
2021,WV,314049.0,242259.62,1.2963
2022,AL,548175.0,613693.2,0.8932
2022,AK,,,
2022,AZ,365787.0,366941.66,0.9969
2022,AR,551133.0,556594.8,0.9902
2022,CA,4510856.0,4380927.0,1.0297
2022,CO,892321.0,1015815.44,0.8784
2022,CT,433509.0,492087.1,0.881
2022,DE,,,
2022,DC,,,
2022,FL,3060046.0,3177545.5,0.963
2022,GA,1558531.0,1752488.2,0.8893
2022,HI,,,
2022,ID,92851.0,117980.1,0.787
2022,IL,1492196.0,1532644.6,0.9736
2022,IN,1492685.0,1567252.0,0.9524
2022,IA,310389.0,340901.75,0.9105
2022,KS,219724.0,235700.25,0.9322
2022,KY,1042729.0,1059357.4,0.9843
2022,LA,940049.0,924048.25,1.0173
2022,ME,313977.0,356612.28,0.8804
2022,MD,566167.0,606347.9,0.9337
2022,MA,913497.0,1069240.8,0.8543
2022,MI,1448941.0,1710624.0,0.847
2022,MN,968858.0,1071273.4,0.9044
2022,MS,349787.0,341863.4,1.0232
2022,MO,1633532.0,1709375.8,0.9556
2022,MT,186730.0,225997.14,0.8262
2022,NE,251356.0,305173.06,0.8237
2022,NV,744701.0,725795.2,1.026
2022,NH,,,
2022,NJ,948615.0,1013690.56,0.9358
2022,NM,164992.0,172515.44,0.9564
2022,NY,3847614.0,4293023.5,0.8962
2022,NC,1724045.0,1883361.2,0.9154
2022,ND,,,
2022,OH,2353110.0,2601558.5,0.9045
2022,OK,712128.0,679801.1,1.0476
2022,OR,521984.0,664139.5,0.786
2022,PA,921926.0,1076827.6,0.8562
2022,PR,,,
2022,RI,,,
2022,SC,1023544.0,1122373.6,0.9119
2022,SD,,,
2022,TN,1769061.0,1797517.9,0.9842
2022,TX,3980964.0,3958902.2,1.0056
2022,UT,180549.0,207694.47,0.8693
2022,VT,,,
2022,VA,1765624.0,1789617.5,0.9866
2022,WA,1039665.0,1206969.4,0.8614
2022,WV,324620.0,263172.6,1.2335
2022,WI,744756.0,834399.0,0.8926
2022,WY,,,
2023,AL,519649.0,504268.12,1.0305
2023,AK,,,
2023,AZ,475020.0,456892.28,1.0397
2023,AR,711273.0,686201.56,1.0365
2023,CA,5566721.0,5131384.0,1.0848
2023,CO,899178.0,1010118.94,0.8902
