Year,state,State ANSI,Value
2022,AL,1,7289857000
2022,AK,2,51157000
2022,AZ,4,2162175000
2022,AR,5,8560595000
2022,CA,6,16035587000
2022,CO,8,6403262000
2022,CT,9,194753000
2022,DE,10,1625055000
2022,FL,12,2125292000
2022,GA,13,8910800000
2022,HI,15,159282000
2022,ID,16,6127408000
2022,IL,17,4127327000
2022,IN,18,6238659000
2022,IA,19,20370706000
2022,KS,20,15569130000
2022,KY,21,4214388000
2022,LA,22,1440449000
2022,ME,23,298269000
2022,MD,24,1978483000
2022,MA,25,148766000
2022,MI,26,5165520000
2022,MN,27,11338329000
2022,MS,28,4929592000
2022,MO,29,6835915000
2022,MT,30,2061081000
2022,NE,31,15405428000
2022,NV,32,518611000
2022,NH,33,104958000
2022,NJ,34,134699000
2022,NM,35,2053107000
2022,NY,36,4898870000
2022,NC,37,13977825000
2022,ND,38,1557092000
2022,OH,39,6654140000
2022,OK,40,6952396000
2022,OR,41,2120423000
2022,PA,42,6788903000
2022,RI,44,20618000
2022,SC,45,2812541000
2022,SD,46,5257945000
2022,TN,47,2157240000
2022,TX,48,24919914000
2022,UT,49,1623782000
2022,VT,50,706712000
2022,VA,51,3609812000
2022,WA,53,3593363000
2022,WV,54,715514000
2022,WI,55,10271183000
2022,WY,56,1242159000
2017,AL,1,4768266000
2017,AK,2,40817000
2017,AZ,4,1757790000
2017,AR,5,6026230000
2017,CA,6,11800525000
2017,CO,8,5252840000
2017,CT,9,160071000
2017,DE,10,1140317000
2017,FL,12,1652810000
2017,GA,13,6301312000
2017,HI,15,146733000
2017,ID,16,4356606000
2017,IL,17,3166229000
2017,IN,18,3986276000
2017,IA,19,15123882000
2017,KS,20,12322289000
2017,KY,21,3196834000
2017,LA,22,1112027000
2017,ME,23,258123000
2017,MD,24,1524681000
2017,MA,25,111661000
2017,MI,26,3576684000
2017,MN,27,8203872000
2017,MS,28,3904079000
2017,MO,29,5049623000
2017,MT,30,1935608000
2017,NE,31,12672422000
2017,NV,32,389681000
2017,NH,33,79992000
2017,NJ,34,113421000
2017,NM,35,1931608000
2017,NY,36,3261226000
2017,NC,37,9165694000
2017,ND,38,1553488000
2017,OH,39,3914972000
2017,OK,40,5948761000
2017,OR,41,1723466000
2017,PA,42,4977556000
2017,RI,44,17089000
